chn 0,  Pts = 0,  LumPixSum = 0,  LumPixAverage=0!     
chn 0,  Pts = 0,  LumPixSum = 300132268,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300014559,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300093103,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300421520,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300689648,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300867667,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301053830,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301098856,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301327822,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301299854,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301330183,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301591006,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301495714,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301492407,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301546429,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301513246,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301638394,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301556077,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301545063,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301713665,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 301201801,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300992810,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301145665,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301064423,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300964283,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301170653,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301137223,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301084692,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301313272,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301160201,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301407607,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301529798,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301597348,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301708686,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301592024,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301588994,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301600314,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300133193,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300463580,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300372372,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300249350,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300454980,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300369832,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300573150,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300800626,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300662230,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300767357,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300902231,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300790534,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300945074,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300943458,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300919356,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300904149,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300966178,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300939082,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301160048,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301116301,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301231106,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301188521,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301519920,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301821702,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300480906,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300810474,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300495390,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300378491,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300680202,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300964719,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301582846,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301309114,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300912114,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300938266,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301224509,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301302561,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301225145,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301283547,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301442570,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301374138,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301321876,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301443564,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300375294,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300336787,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300232915,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300323414,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300468637,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300627236,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300547303,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300796151,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300994359,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301018302,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301092133,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301113984,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301180051,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301417718,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301292354,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301318304,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301397118,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301316517,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301413378,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301500365,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300063289,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299922042,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299781559,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299886060,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300134813,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300221619,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300406993,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300455028,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300601460,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300246039,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300146286,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300415530,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300885446,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300840981,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301072966,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300942209,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301076382,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301124567,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301029880,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301093943,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301030524,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301011592,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301085118,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 299429412,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299813454,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299865323,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299749569,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299942114,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299837743,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299898096,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300055568,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300069082,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300071661,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300258953,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300359003,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300397924,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300461232,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300491213,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300619631,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300550313,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300773136,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300784926,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300710415,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300836820,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300716085,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300869361,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301077957,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 299764714,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300078673,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299930394,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299733178,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300053398,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299953573,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300224953,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300605761,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300419367,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300726317,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300810412,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300749555,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300978226,  LumPixAverage=144!     

